gameid,home,homescore,away,awayscore,date
201811061,Kansas,92,Michigan State,87,11/6/2018
201811062,Kentucky,84,Duke,118,11/6/2018
201811063,Gonzaga,120,Idaho State,79,11/6/2018
201811064,Virginia,73,Towson,42,11/6/2018
201811065,Tennessee,86,Lenoir-Rhyne,41,11/6/2018
201811066,Nevada,86,Brigham Young,70,11/6/2018
201811067,Wofford,67,North Carolina,78,11/6/2018
201811068,Villanova,100,Morgan State,77,11/6/2018
201811069,Auburn,101,South Alabama,58,11/6/2018
2018110610,Oregon,84,Portland State,57,11/6/2018
2018110611,Syracuse,66,Eastern Washington,34,11/6/2018
2018110612,Florida State,81,Florida,60,11/6/2018
2018110613,Michigan,63,Norfolk State,44,11/6/2018
2018110614,UCLA,96,Purdue-Fort Wayne,71,11/6/2018
2018110615,Clemson,100,Citadel,80,11/6/2018
2018110616,Louisiana State,94,Southeastern Louisiana,63,11/6/2018
2018110617,Purdue,90,Fairfield,57,11/6/2018
2018110618,Washington,73,Western Kentucky,55,11/6/2018
2018110619,South Florida,80,Alabama A&M,63,11/6/2018
2018110620,Iowa State,79,Alabama State,53,11/6/2018
2018110621,Fresno State,91,Alaska-Anchorage,63,11/6/2018
2018110622,Tulsa,73,Alcorn State,56,11/6/2018
2018110623,North Texas,89,Angelo State,55,11/6/2018
2018110624,San Diego State,76,Arkansas-Pine Bluff,60,11/6/2018
2018110625,Abilene Christian,107,Arlington Baptist,54,11/6/2018
2018110626,Northern Iowa,97,Bemidji State,51,11/6/2018
2018110627,Furman,102,Bob Jones University,48,11/6/2018
2018110628,Northeastern,74,Boston University,77,11/6/2018
2018110629,South Carolina State,99,Brevard,51,11/6/2018
2018110630,Rhode Island,97,Bryant,63,11/6/2018
2018110631,Arizona State,102,Cal State Fullerton,94,11/6/2018
2018110632,Oregon State,72,UC-Riverside,59,11/6/2018
2018110633,Wyoming,66,UC-Santa Barbara,76,11/6/2018
2018110634,Akron,70,Cedarville,50,11/6/2018
2018110635,Northwestern State,102,Centenary (LA),62,11/6/2018
2018110636,Missouri,68,Central Arkansas,55,11/6/2018
2018110637,Hartford,68,Central Connecticut State,75,11/6/2018
2018110638,Charlotte,69,Chattanooga,80,11/6/2018
2018110639,Indiana,104,Chicago State,55,11/6/2018
2018110640,Fordham,106,City College of New York,58,11/6/2018
2018110641,Davidson,83,Cleveland State,63,11/6/2018
2018110642,NJIT,81,Colgate,78,11/6/2018
2018110643,Charleston Southern,100,Columbia International,68,11/6/2018
2018110644,Valparaiso,121,Concordia (IL),65,11/6/2018
2018110645,Central Michigan,98,Concordia (MI),67,11/6/2018
2018110646,Wisconsin,85,Coppin State,63,11/6/2018
2018110647,Binghamton,75,Cornell,86,11/6/2018
