date,time,icon,wind,temp_low,temp_high,weather
1/1/2017,12:00 AM,13,6,19,21,Clear.
1/1/2017,6:00 AM,6,7,19,34,Partly sunny.
1/1/2017,12:00 PM,6,7,36,37,Partly sunny.
1/1/2017,6:00 PM,17,11,36,36,Overcast.
1/2/2017,12:00 AM,17,11,34,36,Overcast.
1/2/2017,6:00 AM,18,9,34,36,Drizzle. Fog.
1/2/2017,12:00 PM,18,7,36,37,Drizzle. Fog.
1/2/2017,6:00 PM,14,6,36,37,Passing clouds.
1/3/2017,12:00 AM,17,13,34,36,Overcast.
1/3/2017,6:00 AM,7,21,21,32,Overcast.
1/3/2017,12:00 PM,2,21,18,21,Passing clouds.
1/3/2017,6:00 PM,14,19,10,16,Passing clouds.
1/4/2017,12:00 AM,13,16,7,9,Clear.
1/4/2017,6:00 AM,6,14,5,12,Partly sunny.
1/4/2017,12:00 PM,7,13,10,16,Overcast.
1/4/2017,6:00 PM,29,9,9,10,Light snow. Ice fog.
1/5/2017,12:00 AM,29,8,9,10,Light snow. Ice fog.
1/5/2017,6:00 AM,2,12,7,10,Passing clouds.
1/5/2017,12:00 PM,29,14,9,10,Light snow. Ice fog.
1/5/2017,6:00 PM,14,12,3,7,Passing clouds.
1/6/2017,12:00 AM,13,11,0,3,Clear.
1/6/2017,6:00 AM,2,8,-2,9,Passing clouds.
1/6/2017,12:00 PM,6,4,10,16,Partly sunny.
1/6/2017,6:00 PM,14,9,7,12,Passing clouds.
1/7/2017,12:00 AM,17,4,9,12,Overcast.
1/7/2017,6:00 AM,2,5,12,21,Passing clouds.
1/7/2017,12:00 PM,1,11,18,23,Sunny.
1/7/2017,6:00 PM,13,5,9,16,Clear.
1/8/2017,12:00 AM,13,4,3,9,Clear.
1/8/2017,6:00 AM,6,14,7,18,Partly sunny.
1/8/2017,12:00 PM,7,16,19,21,Overcast.
1/8/2017,6:00 PM,17,10,21,25,Overcast.
1/9/2017,12:00 AM,14,7,16,21,Passing clouds.
1/9/2017,6:00 AM,7,6,16,21,Overcast.
1/9/2017,12:00 PM,7,14,25,30,Overcast.
1/9/2017,6:00 PM,17,11,30,34,Overcast.
1/10/2017,12:00 AM,17,12,34,43,Overcast.
1/10/2017,6:00 AM,18,17,34,43,Drizzle. Fog.
1/10/2017,12:00 PM,7,21,27,34,Overcast.
